CME in LASCO,Transit time,Geoeffective
2007-11-16 08:50:00,87.16666666666667,1
2008-12-12 09:06:00,112.9,1
2009-01-21 21:08:00,103.86666666666666,1
2009-01-31 01:54:00,89.1,1
2009-09-25 08:06:00,117.9,1
2009-10-23 15:54:00,135.1,1
2009-11-09 20:06:00,102.9,1
2009-12-27 21:30:00,120.5,1
2010-02-13 19:54:00,139.1,1
2010-03-06 07:51:00,90.15,1
2010-04-03 10:33:00,45.45,1
2010-04-08 01:54:00,82.1,1
2010-05-23 18:30:00,103.5,1
2010-06-16 15:07:00,100.88333333333334,1
2010-08-01 03:54:00,62.1,1
2010-12-23 05:12:00,118.8,1
2011-02-15 02:36:00,96.4,1
2011-03-25 05:36:00,106.4,1
2011-06-14 06:36:00,67.4,1
2011-06-29 00:46:00,98.23333333333333,1
2011-08-04 04:12:00,38.8,1
2011-09-06 23:05:00,63.916666666666664,1
2011-09-14 00:05:00,73.91666666666667,1
2011-10-03 00:24:00,133.6,1
2011-10-16 14:36:00,149.4,1
2011-10-22 10:36:00,55.4,1
2011-10-27 12:12:00,115.8,1
2012-01-19 15:12:00,61.8,1
2012-03-07 00:36:00,34.4,1
2012-03-13 17:26:00,43.56666666666667,1
2012-03-26 23:12:00,66.8,1
2012-03-30 14:46:00,127.23333333333333,1
2012-04-16 17:36:00,82.4,1
2012-04-19 15:36:00,82.9,1
2012-07-05 13:36:00,68.4,1
2012-07-12 16:48:00,48.2,1
2012-09-28 00:00:00,71.0,1
2012-10-05 03:24:00,73.6,1
2012-10-27 17:00:00,94.0,1
2013-02-11 11:24:00,53.6,1
2013-02-14 19:24:00,39.6,1
2013-03-15 07:12:00,46.3,1
2013-04-11 07:24:00,62.6,1
2013-06-05 09:12:00,29.8,1
2013-06-23 22:12:00,87.3,1
2013-07-03 07:36:00,58.4,1
2013-07-06 19:34:00,72.43333333333334,1
2013-07-09 15:12:00,73.3,1
2013-09-29 22:12:00,51.05,1
2013-10-25 15:12:00,87.8,1
2013-11-02 04:48:00,12.0,1
2013-12-19 09:36:00,24.0,1
2014-02-04 17:48:00,12.0,1
2014-02-12 06:36:00,24.0,1
2014-02-25 01:25:00,35.0,1
2014-03-23 03:48:05,41.916666666666664,1
2014-04-02 14:00:00,59.916666666666664,1
2014-04-08 23:12:00,47.8,1
2014-04-18 13:25:51,34.15,1
2014-04-25 00:48:03,11.95,1
2014-06-04 13:48:00,12.0,1
2014-08-15 18:36:05,23.916666666666668,1
2014-09-09 00:16:00,43.083333333333336,1
2014-12-17 04:48:05,41.916666666666664,1
2015-01-03 02:12:00,35.05,1
2015-03-15 01:48:05,11.916666666666666,1
2015-03-27 15:12:08,19.683333333333334,1
2015-11-04 14:48:00,13.35,1
2015-12-28 12:12:05,15.766666666666667,1
2016-07-17 12:12:05,46.0,1
2016-10-09 02:36:00,49.6,1
2017-05-23 05:12:05,35.05,1
