LASCO CME Y/M/D (UT),Disturbance Y/M/D (UT),Dst (nT)
2000/10/03 1000,2000/10/03 0054,-143
2000/10/02 2026,2000/10/05 0326,-182
2000/10/09 2350,2000/10/12 2228,-107
2000/10/25 0826,2000/10/28 0954,-127
2000/11/3 1826,2000/11/06 0948,-159
2000/11/08 1300,2000/11/08 1200,-36
2000/11/09 1615,2000/11/11 0400,-37
2000/11/24 1200,2000/11/26 1158,-80
2000/11/25 1200,2000/11/28 0530,-119
2000/12/22 0300,2000/12/21 1200,-1
2000/12/18 1150,2000/12/22 1925,-62
2001/01/20 2130,2001/01/23 1048,-61
2001/02/28 1450,2001/03/03 1121,-73
2001/03/16 0350,2001/03/19 1114,-149
2001/03/27 2000,2001/03/27 0110,-87
2001/03/25 1706,2001/03/27 1747,-51
2001/03/28 1250,2001/03/31 0052,-387
2001/04/02 2206,2001/04/04 1455,-50
2001/04/06 1930,2001/04/08 1101,-59
2001/04/10 0530,2001/04/11 1343,-271
2001/04/11 1331,2001/04/13 0734,-77
2001/04/15 1700,2001/04/15 1700,-36
2001/04/18 1200,2001/04/18 0046,-114
2001/04/21 2300,2001/04/21 1601,-102
2001/04/26 1230,2001/04/28 0501,-47
2001/05/03 1100,2001/05/03 1100,-2
2001/05/07 1900,2001/05/07 0800,-25
2001/05/09 1200,2001/05/08 1101,-76
2001/05/11 1300,2001/05/11 1300,-48
2001/05/28 0300,2001/05/27 1459,-42
2001/06/07 1800,2001/06/07 0852,-8
2001/06/27 0300,2001/06/27 0300,-18
2001/07/05 0354,2001/07/08 1200,-38
2001/07/13 1700,2001/07/13 1700,-4
2001/08/03 1100,2001/08/03 0716,-13
2001/08/15 0500,2001/08/15 0500,-16
2001/08/14 1601,2001/08/17 1103,-105
2001/08/30 1700,2001/08/30 1411,-40
2001/09/01 1300,2001/09/01 1300,-17
2001/09/13 1800,2001/09/13 0231,-57
2001/09/20 1931,2001/09/23 2000,-73
2001/09/25 0600,2001/09/25 0000,-24
2001/09/27 0454,2001/09/29 0940,-66
2001/09/28 0854,2001/09/30 1924,-148
2001/09/29 1154,2001/10/01 2115,-104
2001/10/02 1400,2001/10/02 1200,-166
2001/10/09 1130,2001/10/11 1701,-71
2001/10/19 1650,2001/10/21 1648,-187
2001/10/22 1826,2001/10/26 2200,-27
2001/10/25 1526,2001/10/28 0319,-157
2001/10/31 2000,2001/10/31 1348,-106
2001/11/05 1900,2001/11/05 1000,-73
2001/11/04 1635,2001/11/06 0152,-292
2001/11/17 0530,2001/11/19 1815,-47
2001/11/22 2330,2001/11/24 0656,-221
2001/12/28 0000,2001/12/28 0000,-10
