CME in LASCO,Transit time,Geoeffective
11/16/2007 08:50:00,87:10:00,1
12/12/2008 09:06:00,112:54:00,1
01/21/2009 21:08:00,103:52:00,1
01/31/2009 01:54:00,89:06:00,1
09/25/2009 08:06:00,117:54:00,1
10/23/2009 15:54:00,135:06:00,1
11/09/2009 20:06:00,102:54:00,1
12/27/2009 21:30:00,120:30:00,1
02/13/2010 19:54:00,139:06:00,1
03/06/2010 07:51:00,90:09:00,1
04/03/2010 10:33:00,45:27:00,1
04/08/2010 01:54:00,82:06:00,1
05/23/2010 18:30:00,103:30:00,1
06/16/2010 15:07:00,100:53:00,1
08/01/2010 03:54:00,62:06:00,1
12/23/2010 05:12:00,118:48:00,1
02/15/2011 02:36:00,96:24:00,1
03/25/2011 05:36:00,106:24:00,1
06/14/2011 06:36:00,67:24:00,1
06/29/2011 00:46:00,98:14:00,1
08/04/2011 04:12:00,38:48:00,1
09/06/2011 23:05:00,63:55:00,1
09/14/2011 00:05:00,73:55:00,1
10/03/2011 00:24:00,133:36:00,1
10/16/2011 14:36:00,149:24:00,1
10/22/2011 10:36:00,55:24:00,1
10/27/2011 12:12:00,115:48:00,1
01/19/2012 15:12:00,61:48:00,1
03/07/2012 00:36:00,34:24:00,1
03/13/2012 17:26:00,43:34:00,1
03/26/2012 23:12:00,66:48:00,1
03/30/2012 14:46:00,127:14:00,1
04/16/2012 17:36:00,82:24:00,1
04/19/2012 15:36:00,82:54:00,1
07/05/2012 13:36:00,68:24:00,1
07/12/2012 16:48:00,48:12:00,1
09/28/2012 00:00:00,71:00:00,1
10/05/2012 03:24:00,73:36:00,1
10/27/2012 17:00:00,94:00:00,1
02/11/2013 11:24:00,53:36:00,1
02/14/2013 19:24:00,39:36:00,1
03/15/2013 07:12:00,46:18:00,1
04/11/2013 07:24:00,62:36:00,1
06/05/2013 09:12:00,29:48:00,1
06/23/2013 22:12:00,87:18:00,1
07/03/2013 07:36:00,58:24:00,1
07/06/2013 19:34:00,72:26:00,1
07/09/2013 15:12:00,73:18:00,1
09/29/2013 22:12:00,51:03:00,1
10/25/2013 15:12:00,87:48:00,1
11/02/2013 04:48:00,12:00:00,1
12/19/2013 09:36:00,24:00:00,1
02/04/2014 17:48:00,12:00:00,1
02/12/2014 06:36:00,24:00:00,1
02/25/2014 01:25:00,35:00:00,1
03/23/2014 03:48:05,41:55:00,1
04/02/2014 14:00:00,59:55:00,1
04/08/2014 23:12:00,47:48:00,1
04/18/2014 13:25:51,34:09:00,1
04/25/2014 00:48:03,11:57:00,1
06/04/2014 13:48:00,12:00:00,1
08/15/2014 18:36:05,23:55:00,1
09/09/2014 00:16:00,43:05:00,1
12/17/2014 04:48:05,41:55:00,1
01/03/2015 02:12:00,35:03:00,1
03/15/2015 01:48:05,11:55:00,1
03/27/2015 15:12:08,19:41:00,1
11/04/2015 14:48:00,13:21:00,1
12/28/2015 12:12:05,15:46:00,1
07/17/2016 12:12:05,46:00:00,1
10/09/2016 02:36:00,49:36:00,1
05/23/2017 05:12:05,35:03:00,1
