LASCO CME Y/M/D (UT),TransitTime,Geoeffective
2005-09-09 19:48:00,29.433333333333334,1
2006-04-10 06:06:00,77.58333333333333,1
2006-08-16 16:30:00,67.01666666666667,1
2006-08-26 20:57:00,95.05,1
2006-12-13 02:54:00,35.333333333333336,1
2006-12-14 22:30:00,43.416666666666664,1
2007-11-15 18:06:00,96.08333333333333,1
2010-04-03 10:33:00,45.88333333333333,1
2010-04-08 04:54:00,80.16666666666667,1
2010-05-24 14:06:00,84.86666666666666,1
2010-08-01 08:45:00,56.93333333333333,1
2011-02-15 02:36:00,70.9,1
2011-05-25 04:20:00,68.66666666666667,1
2011-06-02 07:45:00,61.0,1
2011-08-04 04:12:00,37.65,1
2011-09-06 23:05:00,61.61666666666667,1
2011-09-13 22:10:00,77.55,1
2011-09-24 12:48:00,47.766666666666666,1
2011-10-02 01:00:00,78.6,1
2011-10-07 02:00:00,0.7833333333333333,1
2011-10-22 00:05:00,66.43333333333334,1
2011-10-27 12:00:00,117.11666666666666,1
2012-01-19 14:36:00,63.583333333333336,1
2012-02-24 02:25:00,67.23333333333333,1
2012-03-07 00:24:00,34.65,1
2012-03-13 17:36:00,43.5,1
2012-05-12 00:00:00,112.0,1
2012-06-14 14:12:00,54.11666666666667,1
2012-07-04 17:24:00,86.6,1
2012-07-12 16:48:00,49.35,1
2012-08-31 20:00:00,64.21666666666667,1
2012-09-02 03:09:00,67.6,1
2012-09-28 00:12:00,59.31666666666667,1
2012-09-28 00:00:00,71.08333333333333,1
2012-09-29 09:12:00,84.8,1
2012-10-05 02:48:00,74.46666666666667,1
2012-10-27 16:24:00,95.23333333333333,1
2012-11-09 15:12:00,79.98333333333333,1
2012-11-21 16:00:00,53.86666666666667,1
2013-01-13 07:24:00,104.6,1
2013-03-15 07:12:00,46.78333333333333,1
2013-06-23 22:36:00,88.03333333333333,1
2013-07-01 20:24:00,76.6,1
2013-07-09 15:12:00,74.03333333333333,1
2013-08-20 08:12:00,59.233333333333334,1
2013-09-29 21:45:00,52.15,1
2013-10-06 14:43:00,53.61666666666667,1
2013-11-07 15:12:00,97.8,1
2014-02-04 00:36:00,88.48333333333333,1
2014-02-18 01:36:00,49.7,1
2014-04-18 13:25:00,45.516666666666666,1
2014-06-04 15:24:00,73.46666666666667,1
2014-09-10 18:00:00,45.88333333333333,1
2014-11-07 18:08:00,56.2,1
2014-12-17 05:00:00,110.18333333333334,1
2015-01-03 03:12:00,99.06666666666666,1
2015-03-15 02:36:00,50.15,1
2015-06-21 02:36:00,39.95,1
2015-06-22 18:36:00,42.88333333333333,1
2015-07-10 02:24:00,71.23333333333333,1
2015-08-12 15:12:00,65.28333333333333,1
2015-09-04 19:24:00,66.6,1
2015-09-18 05:00:00,49.06666666666667,1
2015-11-04 14:48:00,51.5,1
2015-12-16 09:24:00,78.86666666666666,1
2015-12-28 12:12:00,60.63333333333333,1
